단계,기법,표현,노트수,질문수,정답없음수,AUC,분리도,R@1,R@3,R@5,MRR,최적임계값,F1,보류여유,보류AUC,보류AUC엄격,정답없음최고,관련최저
Phase0 베이스라인,임베딩 단독,요약,21,47,28,0.9882744282744282,0.1479822993278503,0.9473684210526316,1.0,1.0,0.9736842105263158,0.6447038650512695,0.4545454545454545,-0.0748037099838256,0.9605263157894736,0.9605263157894736,0.7195075750350952,0.6447038650512695
Phase2A BM25확인,임베딩 단독 (현재),본문전체(BM25)/요약(임베딩),21,47,28,0.9882744282744282,0.1479822993278503,0.9473684210526316,1.0,1.0,0.9736842105263158,0.6447038650512695,0.4545454545454545,-0.0748037099838256,0.9605263157894736,0.9605263157894736,0.7195075750350952,0.6447038650512695
Phase2A BM25확인,BM25 단독 (공백분리),본문전체(BM25)/요약(임베딩),21,47,28,0.9763409563409564,9.733363247726226,0.8421052631578947,0.9473684210526316,1.0,0.8964912280701753,4.752691053140718,0.5945945945945946,-8.649439763834408,0.9060150375939848,0.8627819548872181,10.51223044125277,1.8627906774183625
Phase2A BM25확인,BM25 단독 (2-gram),본문전체(BM25)/요약(임베딩),21,47,28,0.9776299376299376,16.19346580275865,0.9473684210526316,1.0,1.0,0.9736842105263158,11.716879517946944,0.3902439024390243,-7.899497002127738,0.8928571428571429,0.881578947368421,18.296430175236654,10.396933173108916
Phase2A BM25확인,하이브리드 RRF (임베딩+BM25),본문전체(BM25)/요약(임베딩),21,47,28,0.9869438669438668,0.0042586320487163,0.8947368421052632,1.0,1.0,0.9473684210526316,0.0317780580075662,0.5494505494505494,-0.0010088272383354,0.8298872180451128,0.8223684210526315,0.0327868852459016,0.0317780580075662
Phase2A BM25확인,하이브리드 가중합 0.7/0.3,본문전체(BM25)/요약(임베딩),21,47,28,0.9774636174636174,0.5884462386164027,1.0,1.0,1.0,1.0,0.5936782886126137,0.2840909090909091,-0.4063216994664573,0.8515037593984962,0.8515037593984962,0.9999999880790712,0.5936782886126137
Phase2B 희귀토큰,임베딩 단독 (현재),본문전체(어휘)/요약(임베딩),21,47,28,0.9882744282744282,0.1479822993278503,0.9473684210526316,1.0,1.0,0.9736842105263158,0.6447038650512695,0.4545454545454545,-0.0748037099838256,0.9605263157894736,0.9605263157894736,0.7195075750350952,0.6447038650512695
Phase2B 희귀토큰,희귀 커버리지 단독,본문전체(어휘)/요약(임베딩),21,47,28,0.9445738045738046,0.6472583902583903,0.7368421052631579,0.9473684210526316,0.9473684210526316,0.8446115288220551,0.5,0.366412213740458,-1.0,0.5507518796992481,0.5375939849624061,1.0,0.0
Phase2B 희귀토큰,임베딩 × 희귀커버리지,본문전체(어휘)/요약(임베딩),21,47,28,0.9796257796257796,0.5780006437400605,1.0,1.0,1.0,1.0,0.4639648050069809,0.3937007874015747,-0.5360351949930191,0.6456766917293233,0.6456766917293233,1.0,0.4639648050069809
Phase2B 희귀토큰,임베딩 − OOV 페널티,본문전체(어휘)/요약(임베딩),21,47,28,0.970977130977131,0.1847045520517286,0.9473684210526316,1.0,1.0,0.9736842105263158,0.5898657464981079,0.4,-0.1319465671266827,0.9718045112781954,0.9718045112781954,0.6695075750350952,0.5375610079084124
Phase2B 희귀토큰,임베딩 × (1−OOV),본문전체(어휘)/요약(임베딩),21,47,28,0.8617463617463618,0.2239589002084048,0.9473684210526316,1.0,1.0,0.9736842105263158,0.367276112238566,0.1794871794871795,-0.3334543824195862,0.9417293233082706,0.9417293233082706,0.4796717166900635,0.1462173342704772
Phase1 확장(28),임베딩 단독 (현재),본문전체(어휘)/요약(임베딩),21,47,28,0.9882744282744282,0.1479822993278503,0.9473684210526316,1.0,1.0,0.9736842105263158,0.6447038650512695,0.4545454545454545,-0.0748037099838256,0.9605263157894736,0.9605263157894736,0.7195075750350952,0.6447038650512695
Phase1 확장(28),BM25 단독,본문전체(어휘)/요약(임베딩),21,47,28,0.9763409563409564,9.733363247726226,0.8421052631578947,0.9473684210526316,1.0,0.8964912280701753,4.752691053140718,0.5945945945945946,-8.649439763834408,0.9060150375939848,0.8627819548872181,10.51223044125277,1.8627906774183625
Phase1 확장(28),하이브리드 RRF,본문전체(어휘)/요약(임베딩),21,47,28,0.9869438669438668,0.0042586320487163,0.8947368421052632,1.0,1.0,0.9473684210526316,0.0317780580075662,0.5494505494505494,-0.0010088272383354,0.8298872180451128,0.8223684210526315,0.0327868852459016,0.0317780580075662
Phase1 확장(28),임베딩 × 희귀커버리지,본문전체(어휘)/요약(임베딩),21,47,28,0.9796257796257796,0.5780006437400605,1.0,1.0,1.0,1.0,0.4639648050069809,0.3937007874015747,-0.5360351949930191,0.6456766917293233,0.6456766917293233,1.0,0.4639648050069809
Phase1 확장(28),임베딩 − OOV 페널티,본문전체(어휘)/요약(임베딩),21,47,28,0.970977130977131,0.1847045520517286,0.9473684210526316,1.0,1.0,0.9736842105263158,0.5898657464981079,0.4,-0.1319465671266827,0.9718045112781954,0.9718045112781954,0.6695075750350952,0.5375610079084124
Phase2C LLM판정,임베딩 단독 (현재),본문전체(판정)/요약(임베딩),21,47,28,0.9882744282744282,0.1479822993278503,0.9473684210526316,1.0,1.0,0.9736842105263158,0.6447038650512695,0.4545454545454545,-0.0748037099838256,0.9605263157894736,0.9605263157894736,0.7195075750350952,0.6447038650512695
Phase2C LLM판정,− OOV 페널티 (2B 최선),본문전체(판정)/요약(임베딩),21,47,28,0.970977130977131,0.1847045520517286,0.9473684210526316,1.0,1.0,0.9736842105263158,0.5898657464981079,0.4,-0.1319465671266827,0.9718045112781954,0.9718045112781954,0.6695075750350952,0.5375610079084124
Phase2C LLM판정,LLM 판정 단독,본문전체(판정)/요약(임베딩),21,47,28,0.8972349272349273,0.7402037382125854,0.7368421052631579,0.8421052631578947,0.8947368421052632,0.8070175438596491,0.2000000029802322,0.7142857142857142,-0.5,0.943609022556391,0.9154135338345863,0.5,0.0
